spec_id,farmer_uid,data_year,moisture,color,rice_impurity,rice_husk,good_grain_pct,broken_grain_pct,grade,variety,status,price_riel
3648,PONG KRIEL|PK077,2023,13,Good,0.9,0.4,76,24,A1,Phka Rumduol,Organic,1950
3649,PONG KRIEL|PK078,2023,14,Good,1,1,92,8,A1,Phka Rumduol,Organic,1950
3650,PONG KRIEL|PK079,2023,13,Good,0,2,0,0,A,White Rice,Organic,1550
3651,PONG KRIEL|PK079,2023,13,Good,0,2,0,0,A,White Rice,Organic,1550
3652,PONG KRIEL|PK079,2023,13,Good,1,2,98,2,A1,Phka Rumduol,Organic,1950
3653,PONG KRIEL|PK081,2023,13,Good,1,1,85,15,A1,Phka Rumduol,Organic,1950
3654,PONG KRIEL|PK083,2023,13,Good,1,2,99,1,A1,Phka Rumduol,Organic,1950
3655,PONG KRIEL|PK084,2023,13,Good,1,1,86,14,A1,Phka Rumduol,Organic,1950
3656,PONG KRIEL|PK086,2023,14,Good,0,2,0,0,,White Rice,Organic,
3657,PONG KRIEL|PK086,2023,14,Good,0,2,0,0,,White Rice,Organic,
3658,PONG KRIEL|PK086,2023,13,Good,1,1,83,17,A1,Phka Rumduol,Organic,1950
3659,PONG KRIEL|PK086,2023,13,Good,0,2,0,0,A,White Rice,Organic,1550
3660,PONG KRIEL|PK086,2023,13.5,Good,0,2,0,0,A,White Rice,Organic,1550
3661,PONG KRIEL|PK087,2023,13,Good,1,2,98,2,A1,Phka Rumduol,New_Organic,1950
3662,PONG KRIEL|PK093,2023,13,Good,1,1,99,1,A1,Phka Rumduol,Organic,1950
3663,PONG KRIEL|PK096,2023,13.7,Good,0,2,0,0,A,White Rice,Organic,1550
3664,PONG KRIEL|PK096,2023,14,Good,0,2,0,0,,White Rice,Organic,
3665,PONG KRIEL|PK098,2023,13,Good,1,1,80,20,A1,Phka Rumduol,New_Organic,1950
3666,PONG KRIEL|PK099,2023,14,Good,0,1,0,0,A,White Rice,Organic,1550
