survey_id,farmer_uid,data_year,age,education,household_member,women,total_income_riel,spend_riel,homestead,cattle,buffalo
2986,DANG PHLET|DP289,2021,,,,,,,,,
3465,DANG PHLET|DP289,2022,,,,,,,1000,0,0
5014,DANG PHLET|DP289,2023,,,,,,,1000,0,0
7044,DANG PHLET|DP289,2024,27,Primary,4,3,10,11,1000,0,0
9273,DANG PHLET|DP289,2025,25,Primary,4,3,12,10,1000,0,0
2883,DANG PHLET|DP293,2021,,,,,,,,,
3466,DANG PHLET|DP293,2022,,,,,,,1500,0,0
5015,DANG PHLET|DP293,2023,,,,,,,1500,0,0
7045,DANG PHLET|DP293,2024,26,Primary,5,3,12,10,1500,4,0
9274,DANG PHLET|DP293,2025,26,Primary,5,3,5,5,1500,5,0
988,DANG PHLET|DP295,2020,,,,,,,,,
2991,DANG PHLET|DP295,2021,,,,,,,,,
3467,DANG PHLET|DP295,2022,,,,,,,1800,0,0
5016,DANG PHLET|DP295,2023,,,,,,,1800,0,0
7046,DANG PHLET|DP295,2024,30,Primary,4,3,17,16,1800,0,0
9275,DANG PHLET|DP295,2025,31,Primary,4,3,10,9,1800,0,0
9276,DANG PHLET|DP296,2025,32,Primary,5,2,12,12,1440,0,1
7047,DANG PHLET|DP299,2024,31,Secondary,4,2,15,10,800,0,0
9277,DANG PHLET|DP299,2025,31,Primary,4,2,10,10,800,0,0
9278,DANG PHLET|DP304,2025,32,Primary,4,2,15,14,1500,0,0
7048,DANG PHLET|DP305,2024,25,Primary,4,1,13,12,1190,0,0
9279,DANG PHLET|DP305,2025,27,Primary,4,1,12,15,1190,0,0
989,DANG PHLET|DP336,2020,,,,,,,,,
2916,DANG PHLET|DP336,2021,,,,,,,,,
3468,DANG PHLET|DP336,2022,,,,,,,4200,0,0
5017,DANG PHLET|DP336,2023,,,,,,,4200,0,0
7049,DANG PHLET|DP336,2024,30,Primary,5,3,8,7,4200,3,0
9280,DANG PHLET|DP336,2025,31,Primary,5,3,12,4,5850,5,0
89,DANG PHLET|DP338,2019,,,,,,,,,
2920,DANG PHLET|DP338,2021,,,,,,,,,
3469,DANG PHLET|DP338,2022,,,,,,,400,0,0
2885,DANG PHLET|DP339,2021,,,,,,,,,
3470,DANG PHLET|DP339,2022,,,,,,,1200,0,0
5018,DANG PHLET|DP339,2023,,,,,,,1200,0,0
90,DANG PHLET|DP341,2019,,,,,,,,,
990,DANG PHLET|DP341,2020,,,,,,,,,
3057,DANG PHLET|DP341,2021,,,,,,,,,
3471,DANG PHLET|DP341,2022,,,,,,,875,0,0
5019,DANG PHLET|DP341,2023,,,,,,,875,0,0
7050,DANG PHLET|DP341,2024,33,Literacy,4,1,11.6,11,875,1,0
9281,DANG PHLET|DP341,2025,31,Secondary,5,2,12,10,875,4,0
91,DANG PHLET|DP342,2019,,,,,,,,,
991,DANG PHLET|DP342,2020,,,,,,,,,
